"lt_desc","year","sex","age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"LT VR/Census, MEX",2010,"m",0,0.027048,0.026417,0.12,1e+05,2642,97669,6440382,64.4
"LT VR/Census, MEX",2010,"m",1,0.001135,0.004529,1.57,97358,441,388364,6342713,65.15
"LT VR/Census, MEX",2010,"m",5,0.000542,0.002707,2.5,96917,262,483931,5954349,61.44
"LT VR/Census, MEX",2010,"m",10,0.000507,0.002534,2.5,96655,245,482663,5470418,56.6
"LT VR/Census, MEX",2010,"m",15,0.00143,0.007123,2.5,96410,687,480334,4987755,51.73
"LT VR/Census, MEX",2010,"m",20,0.002633,0.013081,2.5,95723,1252,475487,4507422,47.09
"LT VR/Census, MEX",2010,"m",25,0.002869,0.014242,2.5,94471,1345,468992,4031935,42.68
"LT VR/Census, MEX",2010,"m",30,0.003976,0.019683,2.5,93126,1833,461046,3562943,38.26
"LT VR/Census, MEX",2010,"m",35,0.005121,0.02528,2.5,91293,2308,450694,3101896,33.98
"LT VR/Census, MEX",2010,"m",40,0.007442,0.036531,2.5,88985,3251,436797,2651202,29.79
"LT VR/Census, MEX",2010,"m",45,0.0102,0.049734,2.5,85734,4264,418011,2214405,25.83
"LT VR/Census, MEX",2010,"m",50,0.013854,0.066953,2.5,81470,5455,393715,1796394,22.05
"LT VR/Census, MEX",2010,"m",55,0.019183,0.091527,2.5,76016,6957,362684,1402679,18.45
"LT VR/Census, MEX",2010,"m",60,0.028023,0.13094,2.5,69058,9042,322685,1039995,15.06
"LT VR/Census, MEX",2010,"m",65,0.042881,0.193644,2.5,60016,11622,271024,717310,11.95
"LT VR/Census, MEX",2010,"m",70,0.060859,0.264112,2.5,48394,12781,210016,446286,9.22
"LT VR/Census, MEX",2010,"m",75,0.106586,0.420801,2.5,35613,14986,140598,236270,6.63
"LT VR/Census, MEX",2010,"m",80,0.178938,0.618158,2.5,20627,12751,71257,95672,4.64
"LT VR/Census, MEX",2010,"m",85,0.3226,1,NA,7876,7876,24415,24415,3.1
"LT VR/Census, MEX",2019,"m",0,0.023311,0.022836,0.11,1e+05,2284,97962,6492687,64.93
"LT VR/Census, MEX",2019,"m",1,0.000929,0.003709,1.59,97716,362,389991,6394725,65.44
"LT VR/Census, MEX",2019,"m",5,0.000383,0.001915,2.5,97354,186,486304,6004734,61.68
"LT VR/Census, MEX",2019,"m",10,0.000491,0.002451,2.5,97168,238,485242,5518431,56.79
"LT VR/Census, MEX",2019,"m",15,0.001329,0.006621,2.5,96929,642,483042,5033188,51.93
"LT VR/Census, MEX",2019,"m",20,0.002411,0.011983,2.5,96288,1154,478554,4550146,47.26
"LT VR/Census, MEX",2019,"m",25,0.003223,0.015986,2.5,95134,1521,471867,4071592,42.8
"LT VR/Census, MEX",2019,"m",30,0.004134,0.020458,2.5,93613,1915,463277,3599725,38.45
"LT VR/Census, MEX",2019,"m",35,0.005703,0.028113,2.5,91698,2578,452044,3136449,34.2
"LT VR/Census, MEX",2019,"m",40,0.007204,0.035382,2.5,89120,3153,437717,2684404,30.12
"LT VR/Census, MEX",2019,"m",45,0.009797,0.047814,2.5,85967,4110,419557,2246688,26.13
"LT VR/Census, MEX",2019,"m",50,0.013881,0.06708,2.5,81856,5491,395554,1827130,22.32
"LT VR/Census, MEX",2019,"m",55,0.020955,0.099561,2.5,76365,7603,362819,1431576,18.75
"LT VR/Census, MEX",2019,"m",60,0.028199,0.131709,2.5,68762,9057,321170,1068757,15.54
"LT VR/Census, MEX",2019,"m",65,0.039692,0.180543,2.5,59706,10779,271580,747587,12.52
"LT VR/Census, MEX",2019,"m",70,0.061885,0.267969,2.5,48926,13111,211854,476007,9.73
"LT VR/Census, MEX",2019,"m",75,0.089522,0.365754,2.5,35816,13100,146329,264153,7.38
"LT VR/Census, MEX",2019,"m",80,0.148757,0.542161,2.5,22716,12316,82790,117824,5.19
"LT VR/Census, MEX",2019,"m",85,0.296861,1,NA,10400,10400,35034,35034,3.37
"LT VR/Census, MEX",2021,"m",0,0.019123,0.018798,0.1,1e+05,1880,98301,6072202,60.72
"LT VR/Census, MEX",2021,"m",1,0.001163,0.00464,1.6,98120,455,391387,5973901,60.88
"LT VR/Census, MEX",2021,"m",5,0.000318,0.00159,2.5,97665,155,487936,5582514,57.16
"LT VR/Census, MEX",2021,"m",10,0.000519,0.002592,2.5,97510,253,486916,5094578,52.25
"LT VR/Census, MEX",2021,"m",15,0.001382,0.006885,2.5,97257,670,484610,4607662,47.38
"LT VR/Census, MEX",2021,"m",20,0.003016,0.014969,2.5,96587,1446,479322,4123052,42.69
"LT VR/Census, MEX",2021,"m",25,0.004413,0.021824,2.5,95141,2076,470516,3643730,38.3
"LT VR/Census, MEX",2021,"m",30,0.005389,0.026585,2.5,93065,2474,459140,3173214,34.1
"LT VR/Census, MEX",2021,"m",35,0.007802,0.038262,2.5,90591,3466,444289,2714074,29.96
"LT VR/Census, MEX",2021,"m",40,0.010239,0.049917,2.5,87125,4349,424751,2269784,26.05
"LT VR/Census, MEX",2021,"m",45,0.015867,0.076309,2.5,82776,6317,398087,1845033,22.29
"LT VR/Census, MEX",2021,"m",50,0.020296,0.09658,2.5,76459,7384,363835,1446945,18.92
"LT VR/Census, MEX",2021,"m",55,0.029715,0.138301,2.5,69075,9553,321491,1083110,15.68
"LT VR/Census, MEX",2021,"m",60,0.041911,0.189679,2.5,59522,11290,269384,761619,12.8
"LT VR/Census, MEX",2021,"m",65,0.057178,0.250133,2.5,48232,12064,210998,492236,10.21
"LT VR/Census, MEX",2021,"m",70,0.091675,0.372909,2.5,36167,13487,147119,281238,7.78
"LT VR/Census, MEX",2021,"m",75,0.128976,0.487644,2.5,22680,11060,85751,134119,5.91
"LT VR/Census, MEX",2021,"m",80,0.204435,0.676451,2.5,11620,7861,38450,48368,4.16
"LT VR/Census, MEX",2021,"m",85,0.379103,1,NA,3760,3760,9918,9918,2.64
"LT VR/Census, MEX",2010,"f",0,0.022964,0.022508,0.12,1e+05,2251,98013,6959631,69.6
"LT VR/Census, MEX",2010,"f",1,0.001143,0.004559,1.49,97749,446,389877,6861618,70.2
"LT VR/Census, MEX",2010,"f",5,0.000481,0.002401,2.5,97304,234,485934,6471741,66.51
"LT VR/Census, MEX",2010,"f",10,0.000488,0.002438,2.5,97070,237,484758,5985807,61.66
"LT VR/Census, MEX",2010,"f",15,0.000709,0.00354,2.5,96833,343,483310,5501049,56.81
"LT VR/Census, MEX",2010,"f",20,0.000747,0.00373,2.5,96491,360,481553,5017739,52
"LT VR/Census, MEX",2010,"f",25,0.001142,0.005692,2.5,96131,547,479285,4536186,47.19
"LT VR/Census, MEX",2010,"f",30,0.001482,0.007382,2.5,95584,706,476154,4056900,42.44
"LT VR/Census, MEX",2010,"f",35,0.00194,0.009653,2.5,94878,916,472100,3580747,37.74
"LT VR/Census, MEX",2010,"f",40,0.002995,0.014862,2.5,93962,1396,466319,3108647,33.08
"LT VR/Census, MEX",2010,"f",45,0.005021,0.024796,2.5,92566,2295,457090,2642327,28.55
"LT VR/Census, MEX",2010,"f",50,0.008354,0.040915,2.5,90270,3693,442118,2185237,24.21
"LT VR/Census, MEX",2010,"f",55,0.013322,0.064463,2.5,86577,5581,418932,1743119,20.13
"LT VR/Census, MEX",2010,"f",60,0.021553,0.102254,2.5,80996,8282,384274,1324187,16.35
"LT VR/Census, MEX",2010,"f",65,0.034672,0.159532,2.5,72714,11600,334568,939913,12.93
"LT VR/Census, MEX",2010,"f",70,0.054872,0.241265,2.5,61114,14745,268706,605344,9.91
"LT VR/Census, MEX",2010,"f",75,0.090825,0.37009,2.5,46369,17161,188943,336638,7.26
"LT VR/Census, MEX",2010,"f",80,0.152512,0.552068,2.5,29208,16125,105729,147694,5.06
"LT VR/Census, MEX",2010,"f",85,0.311765,1,NA,13083,13083,41965,41965,3.21
"LT VR/Census, MEX",2019,"f",0,0.020429,0.020065,0.11,1e+05,2006,98215,7038501,70.39
"LT VR/Census, MEX",2019,"f",1,0.000887,0.003542,1.49,97994,347,391103,6940286,70.82
"LT VR/Census, MEX",2019,"f",5,0.000314,0.001571,2.5,97646,153,487849,6549183,67.07
"LT VR/Census, MEX",2019,"f",10,0.000472,0.002357,2.5,97493,230,486891,6061334,62.17
"LT VR/Census, MEX",2019,"f",15,0.000763,0.003807,2.5,97263,370,485391,5574443,57.31
"LT VR/Census, MEX",2019,"f",20,0.000989,0.004933,2.5,96893,478,483270,5089053,52.52
"LT VR/Census, MEX",2019,"f",25,0.001058,0.005274,2.5,96415,509,480804,4605783,47.77
"LT VR/Census, MEX",2019,"f",30,0.001832,0.009119,2.5,95907,875,477346,4124979,43.01
"LT VR/Census, MEX",2019,"f",35,0.002095,0.010422,2.5,95032,990,472684,3647632,38.38
"LT VR/Census, MEX",2019,"f",40,0.003341,0.016569,2.5,94042,1558,466313,3174948,33.76
"LT VR/Census, MEX",2019,"f",45,0.005408,0.026681,2.5,92483,2468,456248,2708636,29.29
"LT VR/Census, MEX",2019,"f",50,0.008137,0.039872,2.5,90016,3589,441107,2252387,25.02
"LT VR/Census, MEX",2019,"f",55,0.012567,0.06092,2.5,86427,5265,418971,1811281,20.96
"LT VR/Census, MEX",2019,"f",60,0.021211,0.100716,2.5,81162,8174,385372,1392310,17.15
"LT VR/Census, MEX",2019,"f",65,0.030867,0.143279,2.5,72987,10458,338793,1006937,13.8
"LT VR/Census, MEX",2019,"f",70,0.048669,0.216947,2.5,62530,13566,278735,668144,10.69
"LT VR/Census, MEX",2019,"f",75,0.07852,0.328177,2.5,48964,16069,204649,389409,7.95
"LT VR/Census, MEX",2019,"f",80,0.134579,0.503497,2.5,32895,16563,123070,184761,5.62
"LT VR/Census, MEX",2019,"f",85,0.264747,1,NA,16333,16333,61691,61691,3.78
"LT VR/Census, MEX",2021,"f",0,0.016315,0.016079,0.1,1e+05,1608,98551,6732680,67.33
"LT VR/Census, MEX",2021,"f",1,0.000952,0.003797,1.5,98392,374,392633,6634130,67.43
"LT VR/Census, MEX",2021,"f",5,0.000194,0.000971,2.5,98019,95,489855,6241496,63.68
"LT VR/Census, MEX",2021,"f",10,0.00049,0.002447,2.5,97923,240,489018,5751641,58.74
"LT VR/Census, MEX",2021,"f",15,0.000802,0.004003,2.5,97684,391,487441,5262624,53.87
"LT VR/Census, MEX",2021,"f",20,0.001094,0.005457,2.5,97293,531,485136,4775182,49.08
"LT VR/Census, MEX",2021,"f",25,0.00148,0.007372,2.5,96762,713,482026,4290046,44.34
"LT VR/Census, MEX",2021,"f",30,0.002204,0.010957,2.5,96049,1052,477612,3808020,39.65
"LT VR/Census, MEX",2021,"f",35,0.003415,0.016931,2.5,94996,1608,470960,3330408,35.06
"LT VR/Census, MEX",2021,"f",40,0.004494,0.022221,2.5,93388,2075,461751,2859449,30.62
"LT VR/Census, MEX",2021,"f",45,0.008414,0.041205,2.5,91313,3763,447157,2397698,26.26
"LT VR/Census, MEX",2021,"f",50,0.011292,0.054909,2.5,87550,4807,425732,1950541,22.28
"LT VR/Census, MEX",2021,"f",55,0.018684,0.089251,2.5,82743,7385,395252,1524809,18.43
"LT VR/Census, MEX",2021,"f",60,0.030036,0.139689,2.5,75358,10527,350473,1129557,14.99
"LT VR/Census, MEX",2021,"f",65,0.041844,0.189407,2.5,64831,12279,293458,779084,12.02
"LT VR/Census, MEX",2021,"f",70,0.068262,0.291553,2.5,52552,15322,224455,485627,9.24
"LT VR/Census, MEX",2021,"f",75,0.098598,0.395502,2.5,37230,14725,149339,261172,7.02
"LT VR/Census, MEX",2021,"f",80,0.156367,0.5621,2.5,22506,12650,80902,111832,4.97
"LT VR/Census, MEX",2021,"f",85,0.318624,1,NA,9855,9855,30931,30931,3.14
